Community	Plantsp	Fruit_availability	Fruit_color	Fruit_diam_mm	Birdsp	Bird_phylo	Fruit_diet	Bill_width_mm	Body_mass	Visits
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Pipra_pipra	Pipra_pipra	60	4.4	11.1	1
Moyobamba	Cecropia_sp.	115	green	134.852	Pteroglossus_castanotis	Pteroglossus_castanotis	60	33.7	258.09	1
Moyobamba	Schefflera_morototoni	3916.111111	brown	6.6	Pteroglossus_castanotis	Pteroglossus_castanotis	60	33.7	258.09	3
Moyobamba	Cecropia_sp.	115	green	134.852	Pteroglossus_inscriptus	Pteroglossus_inscriptus	80	25.7	125.82	23
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Pteroglossus_inscriptus	Pteroglossus_inscriptus	80	25.7	125.82	3
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Pteroglossus_inscriptus	Pteroglossus_inscriptus	80	25.7	125.82	1
Moyobamba	Schefflera_morototoni	3916.111111	brown	6.6	Pteroglossus_inscriptus	Pteroglossus_inscriptus	80	25.7	125.82	1
Brazil	Myrcia_guianensis	534.1818182	black	8.225	Ramphastos_toco	Ramphastos_toco	70	40.7	617.99	4
Brazil	Myrcia_sp.naranja	1663.8	black	9.852285354	Ramphastos_toco	Ramphastos_toco	70	40.7	617.99	2
Moyobamba	Cecropia_sp.	115	green	134.852	Ramphocelus_carbo	Ramphocelus_carbo	50	7.4	25.92	3
Brazil	Miconia_albicans	4594.142857	green	5.409	Ramphocelus_carbo	Ramphocelus_carbo	50	6.5	31.9	6
Brazil	Miconia_sp.nigra	1	black	6.7	Ramphocelus_carbo	Ramphocelus_carbo	50	6.5	31.9	1
Brazil	Myrcia_sp.naranja	1663.8	black	9.852285354	Ramphocelus_carbo	Ramphocelus_carbo	50	6.5	31.9	3
Moyobamba	Cecropia_sp.	115	green	134.852	Saltator_coerulescens	Saltator_coerulescens	0	11	58	1
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Saltator_coerulescens	Saltator_coerulescens	0	11	58	1
Moyobamba	Cecropia_sp.	115	green	134.852	Saltator_maximus	Saltator_maximus	30	10.4	45.7	11
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Saltator_maximus	Saltator_maximus	30	10.4	45.7	3
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Saltator_maximus	Saltator_maximus	30	10.4	45.7	5
Argentina	Prunus_cerasus	629.8571429	red	17.93	Scelorchilus_rubecula	Scelorchilus_rubecula	0	3.7	56.69	1
